accessionId	version	lastUpdated	created	lastUpdatedBy	createdBy	title	dateExpression	dateBegin	dateEnd	bulkDateBegin	bulkDateEnd	extentNumber	containerSummary	extentType	displayCreator	displayRepository	displaySource	restrictionsApply	accessionNumber1	accessionNumber2	accessionNumber3	accessionNumber4	accessionDate	resourceType	description	inventory	conditionNote	acquisitionType	acknowledgementDate	agreementSentDate	agreementReceivedDate	processingPlan	accessionProcessedDate	accessionDispositionNote	retentionRule	cataloged	rightsTransferred	catalogedNote	accessRestrictionsNote	useRestrictionsNote	generalAccessionNote	processingPriority	processors	processingStatus	acknowledgementSent	agreementSent	agreementReceived	accessionProcessed	accessRestrictions	useRestrictions	catalogedDate	rightsTransferredDate	processingStartedDate	rightsTransferredNote	userDefinedDate1	userDefinedDate2	userDefinedBoolean1	userDefinedBoolean2	userDefinedInteger1	userDefinedInteger2	userDefinedReal1	userDefinedReal2	userDefinedString1	userDefinedString2	userDefinedString3	userDefinedText1	userDefinedText2	userDefinedText3	userDefinedText4	repositoryId
1021	2	2011-11-04 11:15:04.417	2011-06-13 07:35:32.117	johnemm	johnemm	Fulgencio Batista Inauguration Collection		NULL	NULL	NULL	NULL	NULL				Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Bromsen, Maury A.	0	0000	210	x		1911-01-01 00:00:00.000	Manuscripts - Latin American and Caribbean Collections				Purchase	NULL	NULL	NULL		NULL			1	0	MS Group 127							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms127.xml							1
1022	3	2012-01-03 12:15:30.967	2011-06-13 07:35:32.130	johnemm	johnemm	M. de Marillac Letter book		NULL	NULL	NULL	NULL	NULL			Marillac, M. de	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Thomas, Alan G.	0	1979	2	x		1979-01-01 00:00:00.000	Manuscripts - General Collections				Purchase	NULL	NULL	NULL		NULL			1	0	MS Group 128						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms128gm							1
1023	2	2012-01-03 12:10:30.113	2011-06-13 07:35:32.130	johnemm	johnemm	Paul Myron Wentworth Linebarger Autobiography		NULL	NULL	NULL	NULL	NULL			Linebarger, Paul Myron	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	1989	3	x		1989-01-01 00:00:00.000	Manuscripts - General Collections				Purchase	NULL	NULL	NULL		NULL			1	0	MS Group 129						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms129gm							1
1024	2	2012-01-03 12:21:36.640	2011-06-13 07:35:32.147	johnemm	johnemm	James Woodrow Notebooks for class of Robert Bunsen		NULL	NULL	NULL	NULL	NULL			Woodrow, James	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Clark, W.A., Mrs.	0	0000	213	x		1911-01-01 00:00:00.000	Manuscripts - General Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 131						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms131gm							1
1025	2	2011-12-21 14:13:50.637	2011-06-13 07:35:32.147	johnemm	johnemm	Lucy Pratt Music book		NULL	NULL	NULL	NULL	NULL			Pratt, Lucy	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	214	x		1911-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	MS Group 132						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms132gm							1
1026	2	2012-01-03 11:50:21.057	2011-06-13 07:35:32.163	johnemm	johnemm	Morton Grosser Gossamer odyssey		NULL	NULL	NULL	NULL	NULL			Grosser, Morton	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Caidin, Martin	0	0000	215	x		1911-01-01 00:00:00.000	Manuscripts - General Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 133						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms133gm							1
1027	3	2011-12-13 08:02:28.987	2011-06-13 07:35:32.163	johnemm	johnemm	Maria Adelaide Cust Journal		NULL	NULL	NULL	NULL	NULL			Cust, Maria Adelaide	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Thompson, Robert	0	0000	216	x		1911-01-01 00:00:00.000	Manuscripts - General Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 134							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms134.xml							1
1028	2	2011-12-05 09:01:12.827	2011-06-13 07:35:32.177	johnemm	johnemm	Morris Robert Werner Correspondence		NULL	NULL	NULL	NULL	NULL			Werner, M. R. (Morris Robert)	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	217	x		1911-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	MS Group 135							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms135.xml							1
1029	2	2011-12-13 08:23:25.010	2011-06-13 07:35:32.177	johnemm	johnemm	Bergen-Belsen Photographs		NULL	NULL	NULL	NULL	NULL				Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Saul, Marie	0	0000	218	x		1911-01-01 00:00:00.000	Manuscripts - General Collections				Gift	NULL	NULL	NULL		NULL			1	0	MS Group 137			Colonel Curtis Mitchell had given the photographs to his nephew Mitchell Saul many years before.				NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms137.xml							1
1030	1	2011-12-21 14:01:27.280	2011-06-13 07:35:32.193	johnemm	johnemm	Johann Friedrich Blumenbach Manuscript Transcript of Lectures		NULL	NULL	NULL	NULL	NULL			Blumenbach, Johann Friedrich	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	219	x		1911-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	MS Group 138						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms138gm							1
1031	1	2011-12-21 13:59:45.027	2011-06-13 07:35:32.193	johnemm	johnemm	Catechisms and Sermons by Jesuit Priests of Bolivia in Spanish and Aymara Languages		NULL	NULL	NULL	NULL	NULL				Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	220	x		1911-01-01 00:00:00.000	Manuscripts - Latin American and Caribbean Collections					NULL	NULL	NULL		NULL			1	0	MS Group 139						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms139gm							1
1032	3	2011-12-12 14:39:26.450	2011-06-13 07:35:32.210	johnemm	johnemm	Arthur Annesley, Earl of Anglesey, Manuscript		NULL	NULL	NULL	NULL	NULL			Anglesey, Arthur Annesley, Earl of	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida	Ravenstree Company.	0	1982	1	x		1982-01-01 00:00:00.000	Manuscripts - General Collections				Purchase	NULL	NULL	NULL		NULL			1	0	MS Group 140							NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms140.xml							1
1033	1	2011-12-21 13:56:38.197	2011-06-13 07:35:32.210	johnemm	johnemm	David Fairchild Southern Trip		NULL	NULL	NULL	NULL	NULL			Fairchild, David	Special and Area Studies Collections, George A. Smathers Libraries, University of Florida		0	0000	221	x		1911-01-01 00:00:00.000	Manuscripts - General Collections					NULL	NULL	NULL		NULL			1	0	MS Group 141						Processed	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ufms141gm							1
